,Unnamed: 0,Unnamed: 0.1,text,ID,Autor,Gattung
15,15,15,john maynard   » wer sein john maynard   « » john maynard sein unser steuermann   aus halten er   bis er die ufer gewinnen   er haben wir retten   er tragen die kron '   er sterben für wir   unser liebe sein lohn   john maynard   « die » schwalbe « fliegen über die eriesee   gischt schäumen um die bug wie flocke von schnee   von detroit fliegen sie nach buffalo   die herz aber sein frei und froh   und die passagier mit kind und fraun in+die dämmerlicht schon die ufer schauen   und plaudernd an john maynard heran tritt alle   » wie weit noch   steuermann   « die schauen nach vorn und schauen in die rund '   » noch dreißig minute     halb stund «   alle herz sein froh   alle herz sein frei   da klingen es aus die schiffsraum her wie schrei   » feuer   « sein es   was da klingen   eine qualm aus kajüt ' und luke dringen   eine qualm   dann flamme lichterloh   und noch zwanzig minute bis buffalo   und die passagier   buntgemengt   an+die bugspriet stehn sie zusammendrängen   an+die bugspriet vorn sein noch luft und licht   an+die steuer aber lagern sich es dicht   und eine jammern werden laut   » wo sein wir   wo   « und noch fünfzehn minute bis buffalo   die zugwind wachsen   doch die qualmwolke stehen   die kapitän nach die steuer spähen   er sehen nicht mehr sein steuermann   aber durch+die sprachrohr fragen er an   » noch da   john maynard   « » ja   herr   ich sein   « » auf die strand   in die brandung   « » ich halten drauf hin   « und die schiffsvolk jubeln   » halt aus   hallo   « und noch zehn minute bis buffalo   » noch da   john maynard   « und antwort schallen es mit ersterbend stimme   » ja   herr   ich halt es   « und in die brandung   was klippe   was stein   jagen er die » schwalbe « mitten hinein   rettung   die strand von buffalo   die schiff bersten   die feuer verschwelen   alle glocke gehen   ihr ton schwell'n himmelan aus kirche und kapell'n   eine klinge|klingen und läuten   sonst schweigen die stadt   zehntausend folgen oder mehr   und keine aug ' in+die zug   die tränenleer   sie lassen die sarg in blume hinab   mit blume schließen sie die grab   und mit goldner schrift in die marmorstein schreiben die stadt ihr dankspruch ein   » hier ruhen john maynard   in qualm und brand halten er die steuer fest in die hand   er haben wir retten   er tragen die kron '   john maynard   « ,autoren_lyrik_lemma_fontane_John Maynard,fontane,lyrik
16,16,16,die mensch kümmern ich nicht viel   ich meiden die markt   ich meiden die schwarm   andre sein reich   ich sein arm   andre regieren   regieren noch     ich stehen unten und gehen durch+die joch   entsagen und lächeln bei demütigung   und doch   sein es in die wahl ich geben   ich führen noch einmal dasselb leben   und sollen ' ich noch einmal die tag beginnen   ich werden derselb faden spinnen   ,autoren_lyrik_lemma_fontane_So und nicht anders,fontane,lyrik
17,17,17,ob eine wurst   die nachts in+die rauchfang hängen sich noch gedanke über eine stern machen   die golden über ihr zipfel brennen   in dies problem sich wie eine maulwurf grübelnd   bepinseln er sein nase sich vor sein spiegel kunstvoll mit zinober   schreien kikriki   fressen siebzehn sauer gurke   saufen dann divers kübel buttermilch und sterben zuletzt als   sultan von marokko   ,autoren_lyrik_lemma_fontane_»Adam Mensch«,fontane,lyrik
18,18,18,was sein die gut futter   sprechen   für hungernd nation   » halt die maul   hallunk   was kümmern es du   « die reim lachen   blau bohne   ,autoren_lyrik_lemma_fontane_Reimspiel,fontane,lyrik
19,19,19,dein heil   versuchen es anderwärts   wenn frömmelnd du die teufel laust   mein katechismus sein mein herz und mein bibel sein die faust   ,autoren_lyrik_lemma_fontane_Einem Pietisten,fontane,lyrik
20,20,20,nur keine gegrübel   was es sein   wohl oder übel   die scherz sein frei   die wespe und die biene   sie haben sich entzweien   guelfen und ghibellinen   so stehen sie in+die streit   schon um die heimisch linde   wie um ihr letzt haus   sammeln die bienengesinde sich zu+die entscheidend strauß   eine   sie stund auf wache   und die wein|weinen sein ihr nah   schwur   » eine herrlich sache sein dies mori pro patria   dass ihr stand so eine hart   freuen sie fast zu sehen   wie die dreihundert sparter würde sie untergehn   « sprechen da eine zweite   » wohl   sie stimmen die bei   dass zu fallen in+die streit süß und löblich sein   nur sie sein verwundern   dass man auf sparta säh '   pforzheim und sein vierhundert haben man ja in die nähen '   « sprechen es   da schwarz an+die himmel   wie heuschreckenzug   nahen die wespengewimmel sich in+die siegesflug   solche schwarm und flug nimmer die garten sehen   wahre hunnenzüge ware es die attila   bald in gebogen horn   bald in gespitzt keil stürmen sie   aber nach vorne immer die stachelteil   ach   die biene   in demut werden sich die bewusst   und unendlich wehmut schlich in ihr brust   sehen   da schnell eine sasse tritt hervor aus die reih'n   » mach ' ihr eine gasse   liebe genosse mein   « und als ob es er sein heldischer zeitvertreib   drücken er dreizehn speer sich in brust und leib   da   die biene klammern grimm an die feind sich an   alle wespe jammern   » retten sich   wer können   « aber mit waffe   schartig   hummel und andere mehr falle jetzt landsturmartig über die flüchtige her   abend kommen   es schattet   letzte röte scheiden   sehen   da werden bestatten bienen winkelried   solche eine gästegedränge   alle müssen es gestehn   und solche leichengepränge haben sie nie gesehn   rings auf spitze und türmchen an die heckenzaun glühen johanniswürmchen hell wie fackel traun   taghell so beleuchtet kommen die zug daher   jede auge gefeuchtet   jede herz schwer   vorne drei hummelbrummer schritt ernst und barsch   trommeln in kummer ihr trauermarsch   dann   mit ruhm zu melden   kommen die wächsern sarg   die die held die held irdisch hülle bergen   vier kohlschwarze käfer   allen wohlbekannt   ware   als rappen   die schläfer drinnen vorspannen   auf die deckel oben lage   schaft an schaft   alle die dreizehn probe sein ritterkraft   still die zug spitze haben jetzt einlenken   in eine mauerritze werden die sarg senken   dann   wie kriegsgesinde rasch die gram vertauschen   haben in+die duft die linde alle sich berauschen   ,autoren_lyrik_lemma_fontane_Bienen-Winkelried,fontane,lyrik
21,21,21,die philologe   die sich streiten   rechnen wort für wort zurück und sahnen   die schatz die groß britten   umfassen fünfzehntausend stück   doch heuen in+die neunzehnte jahrhundert die ding wie die wind verwehn   eine droschkenkutscher brauchen fünfhundert   eine lyrisch dichter nur circa zehn   ,autoren_lyrik_lemma_fontane_Unser Wortschatz,fontane,lyrik
22,22,22,mit die meergott kämpfen heiß die gigant einst denn je   siegreich   aus die nordmeer arm|arme   reißen sie die wenersee   bau   zwischen sohn und vater   eine länderbreiten damm   stellen vor die tor   als wächter   eine ganz felsenkamm   oft erfassen die see eine zittern tief sehnsucht   und er lauschen   wenn es wie fern meeresbrausen in die tannengipfeln rauschen   bei+die geheul die wolf wähnen er   dass die windsbraut nahe sein   und in+die heisren lied die hähers hören er nur die möwe schrei   frühling werden es   und dreißig strom zahlen plötzlich er tribut   dreißig strom   die sonst meerwärts niederstürzen ihr flut   mit die wasser steig|steige|steigen steigen auch die gefühl er sein kraft   und die freiheitsdrang gesellen sich jetzt die zorn ob sein haft   hoch schon überragen die spiegel sein flut die riesendamm   zwischen er und sein heimat heben sich nur die felsenkamm   da   in siegessichrem mut   rufen er   » vater   mein hand strecken ' ich du noch heuen entgegen durch die felsbewachte land   « und die dreißig strom jede schleudern er als wurfgeschoss auf die wächter und zertrümmern haupt und glied die koloss   die gewalt'gen rumpf die felsen überschäumt sein wasserschwall   und zu+die erst mal zu+die tiefe donnern die trolhätta  fall   in die riesendamme wühlen er sich mit leicht müh ' eine bett   und die meer kommen er entgegen   und sie graben um die wett '   felsenglieder   wie trophäe   decken rings umher die land   ,autoren_lyrik_lemma_Fontane_Der Wenersee,Fontane,lyrik
23,23,23,schenk ein   lieb sonne   dein licht   dein licht   ich wollen es trinken wie wein   und wenn ich mein herz dann zu packen kriegen   dann werden wir beide betrinken sein   dann drehen die welt sich rund um wir rum und die nachtigall singen wie eine buch   wie sein doch die hansel so dumm   so dumm   und die grethel so klug   so klug   ,"autoren_lyrik_lemma_fontane_23. [Schenk ein, liebe Sonne]",fontane,lyrik
24,24,24,» mein lischen   stellen die wein|weinen ein   auf regen folgen ja sonnenschein   ich kehren ' mit schwalb ' und flieder und wohl noch früher wieder   « die bursche sprechen es   von+die giebeldach sah er treu lischen lange nach   bis hoffnung wiederkehren und ihr träne|tränen wehren   die äuglein werden wieder klar   die herz jede kummer bar   sie wissen   mit die flieder kommen ihr die liebste wieder   die frühling kommen mit duft und klang   treu lischen harren mondenlang   herbstwind durchfahren die garten   vergeblich sein ihr warte|warten   wohl kommen die frühling viele mal   ihr liebste nimmermehr in+die tal   doch lenz um lenz auf+die neu rufen sie   » nun kommen die treue   « es konnt ' ihr herz   die jahr um jahr die liebste treu bleiben sein   es konnt es ihr herz nicht fassen   er haben sie verlassen   grau werd ihr haar   welk ihr gesicht   die alter kommen   sie wußt ' es nicht   ihr hoffen und ihr liebe|lieben   ihr herz sein jung bleiben   und als die tod sie heimführen   haben er die treu herz rühren   und mit die liebste miene sein er vor ihr erscheinen   ,autoren_lyrik_lemma_fontane_Treu-Lischen,fontane,lyrik
25,25,25,die schön maid von inverneß   wie freudlos ihr die tag vergehen   sie schaffen und spinnen und weben   indes ihr dunkel aug ' in träne|tränen stehen   » drummossie moor   drummossie tag   o bittrer tag   o blut'ges moor   wo kalt und starr mein vater liegen und ich die bruder drei verlieren   sie liegen tief in sand und blut   in+die erst grün die grab stehn   die gut bursch daneben ruhen   die mädchenaugen je gesehn   weh sieger du   die nach die schlacht noch die geschlagen niedertrat   du haben manche herz betrüben machen   die du doch nichts zu leiden tun   « ,autoren_lyrik_lemma_fontane_8. Die schöne Maid von Inverneß,fontane,lyrik
26,26,26,in lockenfülle die blond haar   allzeit in+die sattel und neunzehn jahr   in+die flug weltein und nie zurück   wer sein die reiter nach die glück   jung bismarck   was sein die glück   sein es gold   sein es ehren '   sein es ruhm   sein es liebe   die glück sein mehr   noch liegen es in+die dämmer   erkennbar kaum   aber er sehen es in sein traum   jung bismarck   er sehen es in+die traum   was sein   die er sehen   an+die brunnen sitzen germania   zween eimer wechseln   die eine fallen|fällen   die andere steigen   wer sein es   die er halten   jung bismarck   und neu bild   eine schloss   eine saal   was nicht blitzen von gold   die blitzen von stahl   wer sein es   die die krone er reichen   jung bismarck   was sein die glück   sein es gold   sein es ehren '   sein es ruhm   sein es liebe   die glück sein mehr   » leben und sterben die vaterland «   gott segnen fürder dein hand   jung bismarck   ,autoren_lyrik_lemma_fontane_Jung-Bismarck,fontane,lyrik
27,27,27,die dorf   es liegen in+die sonnenschein   in die still kirche treten er ein   die wand wissen   die fenster blank   zu beide seite nur bank an bank   und auf die letzt   er blicken empor auf orgel und auf orgelchor   und wenden sich und sprechen   » wie gern vernähm ' ich noch einmal › die lehrer in+die feld   ich mögen er nicht stören   vicky   laß du die lied ich hören   « ,autoren_lyrik_lemma_Fontane_1. Letzte Fahrt,Fontane,lyrik
28,28,28,es sein in+die herbst   in+die bunt herbst   wenn die rotgelb blatt fallen   da werden john graham vor liebe krank   vor liebe zu barbara allen   sein läufer laufen hinab in die stadt und suchen   bis sie finden   » ach   unser herr sein krank nach du   kommen   lady   und machen ' er gesunden   « die lady schreiten zu+die schloss hinan   schritt über die marmorn stufe   sie treten an+die bett   sie sehen er an   » john graham   du lassen ich rufen   « » ich lassen du rufen   ich sein in+die herbst   und die rotgelb blatt fallen   hast du keine letzt wort für ich   ich sterben   barbara allen   « » john graham   ich haben ' eine letzt wort   du sein mein all und eine   du teiltest pfand und band aus   ich aber gönntest du keine   john graham   und ob du ich lieben mögen   ich wissen   ich haben du lieb   ich sehen nach du   du lachtest ich an und gehen lachend vorüber   wir haben wechseln   ich und du   die sprosse|sproß die liebesleiter   du sein nun unten   du haben es gewollt   ich aber sein oben und heiter   « sie gehen zurück   eine meil ' oder zwei   da hören sie glocke schallen   sie sprechen   » die glocke klingen für er   für er und für   barbara allen   lieb mutter   machen eine bett für ich   unter weide|weiden und esche bergen   john graham sein heute sterben um ich   und ich sterben um er morgen   « ,autoren_lyrik_lemma_fontane_Barbara Allen,fontane,lyrik
29,29,29,tanz sein heuen ' in+die krug zu vehlefanz   oben   auf rotgestrichner empore   sitzen die musik in voll chore   klarinette   geige   contrebaß   und vor jede eine pult und eine weißbierglas   und unten drehn sich   in schott'schem und walzer   die paar   dazwischen eine juchzer   eine schnalzer   und zug und hitze und blakende licht   an+die fenster neugierig kindergesicht   eine rempeln und rennen   eine stoßen und stemmen   und mit eins   » da kommen ja die neumann aus cremmen   die laatsche neumann   was wollen denn die   laatsche neumann   hierher   hierher   er bringen was   stillstehen   stramm   ich wett '   er bringen eine telegramm   « und neumann   plötzlich stehen er oben   sie haben er auf die tisch heben   » lese|lesen     « » muss erst zu puste kommen     « » lese|lesen     « feldwebel probst bei+die sturm bleiben   verlust wenig   danske viel     « all sich in die arm|arme fallen   und zu wissen   wie es eigentlich sein   muss neumann es immer wieder lesen   die aber wollen es nicht mehr zu sinn   » vehlefanzer   wo denken ihr hin   habe noch andere gut bekannte     « » welche denn   welche   « » muss noch nach schwante   « » schwante   die lumpig tausend schritt   hurra   neumann   da kommen wir mit   « und hinein in die lau frühlingsnacht ganz vehlefanz haben sich aufmachen   neumann laatscht nach   schwante liegen schon in schlaf   als aber die siegesbotschaft es treffen   ward es wach   die mond an+die himmel stehen   und in jubel stehen die havelland   ,autoren_lyrik_lemma_fontane_4. Siegesbotschaft,fontane,lyrik
30,30,30,du sein die wahr urgenie die hintertreppenpoesie   damit sie wirken   versetzst du dein schrift mit brausepulver und mit rattengift   ,autoren_lyrik_lemma_fontane_An Max Kretzer,fontane,lyrik
31,31,31,grüßen gott du   heimat       nach lang saum|säumen in dein schatten wieder zu träumen   erfüllt in dies maienlust eine tief sehnsucht ich die brust   ade nun   bild die letzt jahr   ihr ufer die somme   die seine   loire   nach krieges  und fremd wässer lauf   nehmen   heimisch havel   ich wieder auf   es spiegeln sich in dein strom wahrzeichen   burg   schloss   dom   bis römerzeiten rückwärts tragen   fürst jazko die christengott sich weihen   weitschauend tragen unser erst kapelle   hans quitzow stecken in+die röhricht verbergen   rubinglas glühen johannes kunkel   nymphäen   schwan   blinkend segel   ob rot ziegel   ob steinern grau   du verklärst es   havel   in dein blau   und schönest du alle   was alt zeit und neu an dein bande reihen   wie schön erst   was fürsorglich längst mit liebend arm|arme du umfängst   jetzt wasser   drauf elsenbüsche schwanken   lücher   brücher   horst   lanken   nun kommen die sonne   nun kommen die mai   mit die wasser herrschaft sein es vorbei   wo sumpf und lache jüngst brodeln   sein alle in teppich ummodeln   eine riesenteppich   blumengeziert   viele meile in+die geviert   tausendschönchen   gelb ranunkel   zittergräser   hell und dunkel   und mitteninne   wie die lachen     des rot ampfers leuchtend pracht   ziehbrunnen über die wiese zerstreuen   trog um trog zu trinken beut   und zwischen die trog und die halm   unter nährendem käuen und zermalmen   die still herd|herde     die glöcklein klingen   eine luftzug die läuten herüberbringt   und an dies teppich blühend saum die lachend dorf   ich zählen sie kaum   linow   lindow   rhinow   glindow   beetz und gatow   dreetz und flatow   bamme   damm   kriele   krielow   petzow   retzow   ferch an+die schwielow   zachow   wachow und groß bähnitz   marquardt an die still schlänitz   sentzke   lentzke und marzahne   lietzow   tietzow und rekahne   und zu+die schluss in die leuchtend kranz   ketzin   ketzür und vehlefanz   und an dein ufer und an dein see   was   stillen havel   sehen alle du geschehn     aus die tiefe herauf die unke|unken klingen   hunderttausend wende wenden hier untergehen   in luft|lüften eine lärmen   eine bellen und jagen   » die sein waldemar « sie flüstern und sagen   in+die torfmoor   neben die cremmer damme     wo hohenloh ' fallen   was wollen die flamme   sein es bloß eine irrlicht       nun klären sich die wetter   sonnenschein   trompetengeschmetter   derfflinger greifen an   die schwede fliehn   grüßen gott du   tag   du preußen wiege   geburtstag und ahnherr unser sieg   und gruß du   wo die wiege stehen   geliebte heimat   havelland   ,autoren_lyrik_lemma_fontane_Havelland,fontane,lyrik
32,32,32,machen du vertrauen mit die gedanke   dass doch die letzte kommen müssen   und statt in trübsinn hinzukranken   werden du die dasein zu+die genuss   ,autoren_lyrik_lemma_Fontane_Memento,Fontane,lyrik
33,33,33,ich gehen über+die heidemoor allein   da hören ' ich zwei rabe kreischen und schrein   die eine rufen die andere zu   » wo machen wir mittag   ich und du   « » in+die wald drüben liegen unbewacht eine erschlagen ritter seit heute nacht   und niemand sehen er in waldesgrund als sein lieb und sein falke und sein hund   sein hund auf neu fährte gehen   sein falk ' auf frisch beute spähen   sein lieb sein mit ihr buhlen fort   wir können speisen in ruhe dort   du setzest auf sein nacken du   seine blau auge   die sein für ich   eine golden locke aus sein haar soll wärmen die nest wir nah jahr   manche eine werden sprechen   ich hatt ' er lieb   doch keine werden wissen   wo er bleiben   und hingehen über sein bleich gebein werden wind und regen und sonnenschein   « ,autoren_lyrik_lemma_fontane_Die zwei Raben,fontane,lyrik
34,34,34,    landsleute   volk von london   hören ich an   sie denken   die könig sein es   von frankreich kommen es und nennen sich und dazu papistisch alle   gott die herr eine greul   an+die meiste aber sie   die blut'ge buhlweib   die frankreich thron beflecken   landsleute   treten nah   hören ich an   von dies buhlweib wollen ich ihr erzählen   ,autoren_lyrik_lemma_Fontane_Puritanerpredigt,Fontane,lyrik
35,35,35,schon heine meinen   die menge thut es   und in+die frühling blühten die quitte   die alt mann aus die land uz haben nicht umsonst leiden   erst gestern haben man er aufstellen als modisch dalai lama   und schluchzend lesen nun die ganz welt sein primitiv drama   in sein name als schutzpatron seziren sich tragisch die reimer   o du katzengräulicher buddhaton   kennen die pappenheimer   schlagen todt die sonne   wenn sie glühen   mit pessimistisch knüppel|knüppeln   so lange noch eine rose blühen   lassen ich ich mein herz nicht verkrüppeln   ,autoren_lyrik_lemma_fontane_Anti-Hiob,fontane,lyrik
36,36,36,aus sandstein sein die gelblich portal   die rothen säule aus granit hauen   und seitwärts in eine weiß piedestal vergraben eine löwe sein marmorklauen   doch schwarz verhängen sein alle fenster heuen und licht brennen nur in+die erdgeschoss   die strassendamm sein hoch mit stroh bestreuen und lautlos drüberhin rollen die karosse   die treppenhaus vertheidigt die portier und schütteln grimmig sein grau mähne   und nahen gar einer aus die haute volée   dann fletschen er cerberusgleich sein zahn   in+die prunksaal trauern hinter flor und taft die bunt inderstoffe aus lahore   auch schleichen die goldbetresste dienerschaft nur auf spitzzehen durch die corridore   die hochgeborne hausherr   excellenz   schwanken wie eine rohr umher auf bleich düne   die erst redekraft die parlament fehlen heute abermals auf die tribüne   zwar treten man gestern erst in die etat   doch haben sein fehlen diesmal gut grund   schon viermal sein die greis hausarzt da und meinen   dafs es sehr bedenklich stehen   nach eis und himbeer werden gar oft schellen   doch mäuschenstill sein es in+die krankenzimmer   und sein düster teppichpracht erhellen nur eine ampel röthliches geflimmer   weit offen stehen die thür zu+die vestibul und wie in+die traum nur plätschern die fontäne   die luft umher sein wie gewitterschwül   denn ach   die gnädge frau haben heuen   migräne   ,autoren_lyrik_lemma_fontane_Ein Bild,fontane,lyrik
