,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg,ID,text
10,Weicht von mir...,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,10,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180014,weichen von ich   ihr bilder lockender lust   ihr schwellend leib weißwogende brust   ihr dunkel auge feuchtschimmernde gluthen   ihr lippe so süß in+die kuss zu verbluten   nicht wollen ich umschlungen von weich arm|arme   umkost von die weib dufthauch   die warm   die sinn letzen in+die taumel die wonne   zu du die seele hinaufstrebt   ursonne   o laß ich baden in selig klarheit   o sprechen zu ich   ewig göttlich wahrheit   
11,Im Zecherkreis,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,14,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180015,nacht sein es   trüb ' flackern die ampel licht   des mond schein durch die fenster brechen   wir sitzen in+die kreis bei+die festlich mahl   von hand zu hand gehen die duftig pokal   wild üppige zecher sein wir zumeist   manche witzwort sprühen von geist zu geist   dazwischen tönen die dirne gelach   die klingen so gell   die klingen so jach     o toll schwelgen in+die überfluss   immer süß berauschen wir die dämon genuss   ob auch in nah stunde vielleicht die tod über unser haupt streichen   wir kümmern es nicht   brust wogend an brust   so lassen wir sterben in+die taumel die lust   
12,Fragment2,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,24,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180016,ich lehnen träumend an+die brückenrand   die aug ' zu die strom tiefe wenden   wie schatten huschen es an ich vorbei   nur halb noch hören ' ich verworr'nes geschrei   die abend dämmern mählich herein     plötzlich ergießen sich trübfahler schein   jäh ' treffen mein blick die mensch all '   die vorüberfluthen in wirr schwall   ich sehen karosse stolz und reich   daneben die armuth kummerbleich   zumeist graben tief linie die noth   die laster   die sorge um leben und brot   verrohung spiegeln gar manche zug   unselige selbstsucht   lug und trug   keine auge entsprüh't die dasein lust   weltscheue schwermuth füllen mein brust   unendlich weh und unendlich groll   was all ' die toll treiben sollen   die meiste kommen zu+die erde und geh'n und haben nie sich selber geseh'n   sie leben dumpf in thierischem trieb   sie fühlen nie die glück die liebe   sie sehen nie die gottheit spur   sie kennen du nicht   allmutter natur   
13,Nie wieder...,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,14,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180017,die straße dämmern so tief verschneien   wie sein die sommer so weit   so weit   jüngst träumen die welt die frühling traum   vieltausend knospe tragen jede baum   nun plötzlich alle ' die keim ersticken   von+die frosteshauch die blüthen knicken   unnennbar traurig die seele sein   die sonnig tag sie nicht vergessen   nun finden sie nirgends die liebe trost   sie ahnen   nie wieder eine west sie umkost   nie wieder laben sie die blume duft   sie betten die schnee die kühl gruft   sterben müssen sie tief einsamen tod   nie wieder grüßen sie die morgenroth   
14,Kind aus dem Volke,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,16,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180018,kind aus die volk so schlicht und rein   hut du   hüten du blümelein   sein so lieblich und zart von gestalt   üben so süß zaubergewalt     bald sein die liebe knospe erwachen   liebe kommen träumend und über nacht   heiße zu+die herz strömen du die blut   dein wang ' erglüh't in rosenglut   dein mund die kuss entgegenschwillt   nur die mann arm dein sehnsucht stillen   wild pressen du er an die wogend brust   du giebst du hin in+die taumel die lust   für ewig scheiden von du die glück   nie kehren dein munterkeit zurück   in thränen sterben dein seele mai   in düstrer verzweiflung dein todesschrei   
15,Frühlingsandacht,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,14,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180019,die frühling sturm durchbrausen die land     mein seele durchlodert die sehnsucht brand   es treiben ich hinaus in die einsamkeit dom   ich kühlen die gluth in die wind|winde strom   versunken liegen die erinnerung weit   ich grüßen die sonne die ewigkeit   die bach rauschen ich liebend zu   die vogel singen   sein glücklich auch du   die baum neigen sich zu+die willkomm '   süße andacht erfüllen ich   ich sein fromm   tiefheiliger schauer ich durchwehen   es weihen ich die schöpfung majestät   ich saugen die odem die gottheit ein   eins sein ich mit die allewigen sein   
16,Zum Eingang,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,14,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180020,eine priester sein die dichter immerfort   er wahren treu die dichtung heilig hort   in+die rausch die wahnsinn geben ' er flammend kund   die offenbarung aus die gottheit mund   ganz poch ' in sein brust die menschheit herz   ganz ström ' er aus die menschheit lust und schmerz   er sein prophet   die in die tief nacht die sehnsucht nach die licht neu entfachen   er sein eine könig in die schönheit reich   die sündig menschheit heiland allzugleich   er sein die flamme   die da ewig brennen   die sonne an die volk firmament   nicht eher dann verklingen die sanges schall   bis dass die letzt mensch ersterben in+die all   
17,An ***,"Arent, Wilhelm [alt. Arendt, Wilhelm]",6,4,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180021,zu+die ewig thron streben ihr empor   so trotzigstolz und löwenkühn   sie suchen die himmel flammenthor   nicht eher können ihr frieden blüh'n   o nehmen ich auf in euern bund   ich sein so arm und leidesmüd '   in+die kampf mit ihr werd ' ich gesund   vielleicht gelingen ich auch eine lied   eine lied   die mein seele reißen urmächtig aus die trübsal nacht   dass frei in+die äther schweben die geist   in blumenduft und sonnenpracht   eine lied   wie offenbarungslaut   wie frühlingssturm in wald und flur   die nur in+die licht die gottheit schauen und hüllenlos die allnatur   eine lied   die wie die thräne quellen   die wir erlösen aus tief schmerz   eine lied   die jede sehnsucht stillen   und süß trost für jede herz   eine lied   die nicht mehr brünstig fragen   eine lied   die all selig kennen   in die die ewig morgen tagen   in die die ewig sonne brennen   
18,Strahlen wie Sterne duftig klar...,"Arent, Wilhelm [alt. Arendt, Wilhelm]",4,4,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180022,strahl|strahlen wie stern duftigklar ich dein auge   die tiefblau   zeihen|ziehen ich eine sehne|sehnen wunderbar nach selig fernen himmelsauen   die echt liebe treu und wahr   wähn ' ich auf sonnig grund zu schauen   als kennen ' ich du schon viele jahr '   möcht ' ich die seele du vertrauen   reich ' ich zu+die kuss die lippe dar   o runzeln nicht die zart braue|brauen   umduftet süß von dein haar   laß frieden auf ich niederthauen   ich sein so glück  und trostesbar     o maienschönste alle frau sein du die flügellahm aar die sonne in die nebel grauen       
19,>O lass' mich küssen dein Gewand...,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,12,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180023,o lassen ' ich küssen dein gewand   du einzige holde   heilig reine   ich wissen   dass ich in du nur finden die liebe glück   nach die ich weinen   entsühne ich von+die irdisch tand   ganz sein dein fühlen auch die meinen   lassen ' in die liebe wunderland wir träumen süß die ewig eine   du giebst ich dein zauberhand   tief unter wir sterben die gemeine   du führ'st ich an die abgrund rand vorbei zu+die ewig sonnenscheine   
20,Seh' ich dein Aug' in Starrheit süß verloren...,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,16,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180024,seh ' ich dein aug ' in starrheit süß verlieren   die sonst so sonnig leben hold entsprüht   dünken ich   anna   du sein nicht erdgeboren   dass fremd welt zauber du umblüht   seh ' ich dann thränen dein wange feuchten   schimmer|schimmern in zart wimper perle|perlen gleich   erschließen ich dein zug wetterleuchten   wie thaufrisch dein seele und wie reich   ich wissen   du mögen gern eine herz beglücken   so schön   so lieb   wie nimmer es geschehen   ich wissen   du mögen es die welt entrücken   dass also keusch und rein es auch erglühen   wie all ' die traum   die du lind umweben   wie alle ' die lust   die jauchzend aus du brechen   wie alle ' die strahl|strahlen   die du leis ' umschweben   du schön himmelsseele hehr und licht   
21,Meine Gottheit bist du in Ewigkeit,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,24,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180025,o anna glauben '   ich lieb ' nur du   nur du suchen mein seele   du sein die schönheit stern für ich   ganz licht   ganz ohne fehl   dein wort mein dürstend herz nur füllen   dein glück hellen mein nacht   kämpfen ' ich auch jetzt nebelumhüllt   als sieger end ' ich die schlacht   als sieger kehren ' ich zu du mein kind   mein tag sehnsucht und traum   dein odem umwehen ich friedenslind   dass ich fern je   wissen ich kaum   an dein brust sterben die dämon schmerz     o hold mährchenstund   immer wieder küssen ' ich   du einzig herz   dein vielsüßen kindermund   ich fragen du nicht   ich wissen es genau   meinen sein dein reich gemüth   mein die seligleuchtende frühlingsthau   die dein auge entsprüht   meinen sein du   mein   o seligkeit   einzigmein in lust und grau   mein gottheit sein du in ewigkeit   und sterben du   dann sonne lisch ' aus   
22,Fragment3,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,28,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180026,o dass ich finden eine seele   die fühlen gleich ich     o dass ich endlich in keusch schönheit thaufrisch erblühen die wunder die liebe   o dass endlich die verschmachtenden werden die einzig glück   die die erde kennen   in die alle seligkeit wurzeln   die süß einklang zweier menschenherz zu+die ewig harmonie                                   niederthau'st du   o friede   die in die himmel fluten   du demant die erkenntniß   darin sich spiegeln all gute und böse   und wundervoll sprechen du   ewige wechsel   zu die traumvergessenen   o köstlich weben in+die tempel die gottheit   o trunken schwelgen in wonn ' ohne ende   es wandeln die mond   es bleiben die seelenumarmung unaussprechlich wollust   
23,"Die Heilige, Einzige, Göttliche","Arent, Wilhelm [alt. Arendt, Wilhelm]",1,74,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180027,wann werd ' ich du finden   ach endlich du finden   du fiebernd in schauernder seelenumarmung   fühlen   ganz fühlen du heilige   einzige   göttliche       die du sein   weil ich sein   ich wollen   wie ich du wollen     die du mit eine strahl dein auge   darin die himmel glühen   all ' die schmerz die einsame heimath  und glückfernen mitfühlend hinwegküssest   mit eine athemhauch dein seele   darin ewig frühling blühen   all ' die thränen auslöschst   all ' die brennend qual   die mein seele verzehren   meine unsterblich seele     wo sein du   du sonne   nur mein sonne   die du jede wolke die schwermuth von gramtrüber stirn ich lächelnd hinwegscheuchst   triumphirend verheißest jede traum die erfüllung   und himmlisch tröstung gottsüßen frieden in die sehnend busen gießen   ich   die ich arm sein   so arm sein   wie niemand     wann erheben du dein haupt   aus nebel und sturm dein lichtmächtiges haupt   du erkenntniß die wahrheit die sein und die sein werden       wann winken du oase   du mährcheninsel   voll paradiesisch aue   die wüstenpilger   die müde die kampf des irdisch kampf ohne rettungsstern hinsinkt   in die nichts starren   wann reifst du entgegen die labebedürftigen o thaufrucht die liebe     wann werd ' ich erwachen   holdselig erwachen   du in+die schooße erwachen   du unendlich wonne     wann werd ' ich sie schauen in alle ' ihr schönheit liebreiz und anmuth   die aus die kelch jede blume entgegen ich duften   und zu ich sprechen aus die nachtigall schluchzen   die flüstern die maiwinds   jede machtwort die schöpfung                                     mit die schrei die erlösung fliegen ihr entgegen die verschmachtende seele   leib reißen sich an leib     es sättigen sich endlich in+die rausch die verzückung die taumelnd sinn   hinsterben die puls     in die kuss wildlodernder flamme vermählen sich alle süße die leben des leben und tod   
24,Meiner Seele Seele,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,45,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180028,welche ' drang   welche beben durchgraut   durchzittert wie wonniger glücksahnung jäh gewissheit die qualmüden sinn   wie schrecklich schön blühen entgegen ich in flammend reiz|reizen dein süß gestalt   wie durchschau'rt mein herz   die liebeschmachtende   dein schimmernd gluthauges seligjubelnde märchensprache   ach   du sein mein sehnsucht ziel     jauchzend grüßen ' ich du   mein seele   seele   du sein es   die ich suchen in dunkel mitternächten   da ich ringen und ringen in stumm verzweiflung und keine stern ich winken von+die grausam himmel     du sein es   die ich suchen   wenn ich einsam trinken des frühling frisch quellend gluth die in alle pore ich dringen   die süß duft die über die aue schwimmen und die busen ich schwellte in heilig sehnsucht     du sein es   in du wurzeln mit alle faser mein ganz sein   jede knospe die hoffnung   all ' frieden und glück   gebannt in dein schönheit magisch lichtkreis lassen ' ich träumend vergessen   lassen ' leben ich saugen von dein lippe   in+die schooße du rasten   in hold umarmung schöpfen ' ich erquickung wie die baum aus die erde     
25,À la Makart,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,40,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180029,mit dämonisch reiz|reizen schmücken du venus   die göttin die liebe   du wollüstig blass   lustheischende dirne   wie schön sein du   leise heben sich in zitternd woge|wogen dein üppig brust zartknospende rose   phantastisch fluten dein seidenhaars duftige lockenfülle auf die blüthenweißen nacken hernieder   die so lieblich runden     immer heiß zehren an+die inner mark ich dein nachtschwarz auge wildlodernde glut   wollustathmend   fieberheiß   blühen ich entgegen dein schwellend leib nacktschimmernde pracht   und wonnig umschlungen von die sammetweichen fleisch dein weißkosigen arm|arme sinken ich liebeächzend in dein feucht brünstig schooßes thauspendende tiefe   voll süß gier   in wahnsinnig trunkenheit pressen ich du an ich   lippe brennen auf lippe   leib schwelgen an leib   in selig schauer rinnen in einander die seele geheimniß     
26,À la Gabriel Max,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,61,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180030,o laß ich   lassen ich   du blass dirne   du so heiß begehrt   so schnöde verdammt kind die sünde   was sollen die lächeln   da sinnverwirrend   die die reizend kleine schwellend mund du so lieblich umknospet   was sollen dein groß nachtschwarz kinderauge wehmüthige räthselfrage   all ' die bachantische glut   all ' die lustsatte leid   die dein müde gesichtchen ich wechselnd künden   ich können du nicht retten aus die pfuhl die verderbniß   du schön verlorene       nicht dürfen ich mehr bergen dein süß lockenhaupt an mein stark pochende männerbrust   nicht mehr mit zitternd finger voll selig trunkenheit wühlen in dein seidenhaar   ich lieb ' eine andere       wie du ich lieb mit alle ' die stärke und reine und thaufrischen frühlingsempfindung all ' die herzfüllenden leidenschaft die wahr liebe         ach   nicht dein seele hold geheimniß suchen ich brünstig   aug ' in auge senken lippe hangend an lippe in die wollustumarmung wildlodernder kuss   nur dein leib jungfräulich herb berauschende dufthauch trieb ich fiebernd in dein weich arm|arme   dass ich wild an ich pressen dein weißwogenden brust schimmernde fülle   zu sättigen die sinn ewig rege dämon     ich können du nicht retten     o fluchen nicht die unselig   auch ich sein bannen in sternlos nacht wie du   unstät und flüchtig muss ich weiter irren durch pfadleere wüste   stumm weiterschleppen die qualenlast nie gestillter sehnsucht   
27,Mondnachtzauber,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,63,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180031,o wonnig weben in höhe und tiefe des wallend äther   wie selig geist gruß|grüßen die stern   die duftumflorten   weihend walten die ewig liebe   ich träumen und träumen     und wieder wecken eine welt von empfindung die mondnacht zauber in+die busen ich   tiefe wehmuth füllen mein einsam herz   lang '   lang ' sein es her     tief schwimmen die mond in+die dämmer blau   eine blass traumgesicht   in+die nah korne nur zirpen die grille|grillen   wie von geisterhänden magisch berühren erzittert leise des wild wein phantastisch sich rankende blatt und blüthen     heiß wort die sehnsucht entrangen sich zögernd die tief grund mein traumbeklomm'nen in heilig schauer erbebenden brust   köstlichstumme selige erwiderung ward ich von dein duftkeuschen lippe   du süßen frauenseele an mein seite   eine heilige   eine madonna andachtumflossen in licht glorie neigtest du lächelnd dein lieblich haupt und in+die innerste treffen ich die liebe strahl aus die zart durchgeisteten kinderantlitz   berauschen bis in die mark von dein engelsmilde und frau'nhaften weiche   o anna   sinken ich in die knie und küssen inbrünstig immer wieder und wieder dein fein   weiß   duftig hand     von die blume balsam lindkosend umfluten verschwistern sich in brünstig umarmung in die mainacht gluthauch die unsterblich seele zu+die ewig bund     
28,Fata morgana,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,43,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180032,wie mild und süß des abend kühle und thaufrische labung herniedersinkt auf die heiß dürstend glutschwangre erde   matt glänzen die tiefe des himmesgewölbes in duftweißem schimmer   nur in die ferne wie stolz gebirge vielhäuptiges steinmeer ragen auf die wolke stummdräuende nebelwand   immer dicht breiten um die dämmernd sinn mit muttersorgfalt ihr traumesschleier die trösterin nacht   wie geisterrauschen zeihen|ziehen es durch die luft   sanft küssen es die köpfchen zarthalmiger gras   die stolz krone hochwipfliger baum   dass sie leise erzittern in wonnig beben und flüsternd sich neigen   jede schmerz   jede sehnsucht die seele verhauchen   mit die friedenslispeln die luft und stern   himmel und erde umarmen sich alleins in die segenszauber die müde natur     immer deutlich grüßen aus wachsend schatten die heilig schwelle die heimath   jetzt lächeln ich selig   eine selig kind   ach   in+die schooße die mutter   
29,Fieberglut,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,36,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180033,durch mein ader rast fieberglut   in mein krank ausgedörrt hirn lodern die wahnsinn flamme empor   aus nacht und grau   aus wild verzweiflung schreien mein seele nach du   nach du du süß ewigverlorene geliebte   in heiß thränen quellen die opfer unendlich sehnsucht   o dass ich vergessen können       ertödten die erinnerung vielholden mährchenduft   in toll sinnentaumel bachantisch schwelgen   hinsterben in die wonne rauschseliger liebe       wie schön scheinen die welt die auge die glückliche   eine schimmernd blüthenhag süß umweben und durchzittert von duft und schall und nun   in nacht tauchen sein die lichtkreis die sonne   zu+die schmerz werden jede athemzug die leidgepreßten brust   immer wieder wühl ' ich   o wollüstige selbstqual   in mein wunde   die nie verharschenden     
